timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763327411265,2086,HTTP Request,201,Created,Ramp 1-1,text,true,,233,4862138,2,2,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,2086,0,110
1763327413665,2009,HTTP Request,201,Created,Ramp 1-3,text,true,,233,4862170,3,3,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,2009,0,90
1763327414865,2446,HTTP Request,201,Created,Ramp 1-4,text,true,,233,4862170,4,4,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,2446,0,88
1763327418473,2330,HTTP Request,500,Internal Server Error,Ramp 1-7,text,false,,533,4862150,5,5,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,2330,0,80
1763327412464,8355,HTTP Request,500,Internal Server Error,Ramp 1-2,text,false,,589,4862138,4,4,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,8355,0,86
1763327420864,2448,HTTP Request,201,Created,Ramp 1-9,text,true,,233,4862174,6,6,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,2448,0,142
1763327423279,2437,HTTP Request,201,Created,Ramp 1-11,text,true,,233,4862142,7,7,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,2437,0,91
1763327416066,11958,HTTP Request,201,Created,Ramp 1-5,text,true,,233,4862150,7,7,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,11958,0,87
1763327425664,3060,HTTP Request,201,Created,Ramp 1-13,text,true,,233,4862150,7,7,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,3060,0,87
1763327417266,11697,HTTP Request,201,Created,Ramp 1-6,text,true,,233,4862142,6,6,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,11697,0,79
1763327419663,11036,HTTP Request,201,Created,Ramp 1-8,text,true,,233,4862170,7,7,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,11036,0,84
1763327429265,2647,HTTP Request,201,Created,Ramp 1-16,text,true,,233,4862146,7,7,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,2647,0,83
1763327422064,9858,HTTP Request,500,Internal Server Error,Ramp 1-10,text,false,,331,4862138,6,6,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,9858,0,93
1763327424464,11312,HTTP Request,201,Created,Ramp 1-12,text,true,,233,4862138,8,8,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,11312,0,97
1763327426864,9622,HTTP Request,201,Created,Ramp 1-14,text,true,,233,4862142,8,8,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,9622,0,93
1763327428064,10039,HTTP Request,201,Created,Ramp 1-15,text,true,,233,4862138,8,8,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,10039,0,93
1763327430471,7924,HTTP Request,201,Created,Ramp 1-17,text,true,,233,4862146,7,7,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,7924,0,78
1763327437666,3031,HTTP Request,201,Created,Ramp 1-23,text,true,,233,4862174,8,8,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,3031,0,89
1763327431665,10432,HTTP Request,201,Created,Ramp 1-18,text,true,,233,4862178,8,8,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,10432,0,80
1763327440066,3464,HTTP Request,201,Created,Ramp 1-25,text,true,,233,4862178,8,8,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,3464,0,81
1763327438875,6567,HTTP Request,201,Created,Ramp 1-24,text,true,,233,4862142,9,9,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,6567,0,80
1763327432873,14045,HTTP Request,201,Created,Ramp 1-19,text,true,,233,4862166,9,9,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,14045,0,161
1763327436466,10457,HTTP Request,500,Internal Server Error,Ramp 1-22,text,false,,331,4862154,8,8,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,10457,0,79
1763327443666,3915,HTTP Request,201,Created,Ramp 1-28,text,true,,233,4862154,8,8,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,3915,0,89
1763327435266,13113,HTTP Request,201,Created,Ramp 1-21,text,true,,233,4862138,7,7,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,13113,0,90
1763327434067,15424,HTTP Request,201,Created,Ramp 1-20,text,true,,233,4862142,7,7,http://backend-rest-alb-1281872754.us-east-1.elb.amazonaws.com/api/videos/upload,15424,0,94
