timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764444468958,1927,HTTP Request,201,Created,Ramp 1-1,text,true,,232,4862144,1,1,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1910,0,118
1764444471197,1999,HTTP Request,201,Created,Ramp 1-2,text,true,,232,4862140,1,1,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1999,0,103
1764444473447,1898,HTTP Request,201,Created,Ramp 1-3,text,true,,232,4862136,1,1,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1898,0,95
1764444475699,1780,HTTP Request,201,Created,Ramp 1-4,text,true,,232,4862140,1,1,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1780,0,76
1764444477947,1904,HTTP Request,201,Created,Ramp 1-5,text,true,,232,4862148,1,1,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1904,0,86
1764444480198,2449,HTTP Request,201,Created,Ramp 1-6,text,true,,232,4862136,2,2,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2449,0,94
1764444482448,1798,HTTP Request,201,Created,Ramp 1-7,text,true,,232,4862172,1,1,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1798,0,133
1764444486948,1860,HTTP Request,201,Created,Ramp 1-9,text,true,,232,4862152,2,2,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1860,0,80
1764444491452,2066,HTTP Request,201,Created,Ramp 1-11,text,true,,232,4862140,3,3,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2066,0,79
1764444484697,9819,HTTP Request,201,Created,Ramp 1-8,text,true,,232,4862140,3,3,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,9818,0,172
1764444493716,1946,HTTP Request,201,Created,Ramp 1-12,text,true,,232,4862176,2,2,http://anb-ecs-lb-597258804.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1946,0,72
