timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762742503296,2257,HTTP Request,201,Created,Ramp 1-1,text,true,,233,4862142,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2257,0,174
1762742504798,2101,HTTP Request,201,Created,Ramp 1-2,text,true,,233,4862162,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2101,0,97
1762742506298,1964,HTTP Request,201,Created,Ramp 1-3,text,true,,233,4862134,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1964,0,101
1762742507812,2157,HTTP Request,201,Created,Ramp 1-4,text,true,,233,4862154,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2157,0,97
1762742509297,1943,HTTP Request,201,Created,Ramp 1-5,text,true,,233,4862150,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1943,0,78
1762742510811,1917,HTTP Request,201,Created,Ramp 1-6,text,true,,233,4862142,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1917,0,78
1762742512295,2209,HTTP Request,201,Created,Ramp 1-7,text,true,,233,4862134,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2209,0,83
1762742513794,1841,HTTP Request,201,Created,Ramp 1-8,text,true,,233,4862138,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1841,0,75
1762742515296,1919,HTTP Request,201,Created,Ramp 1-9,text,true,,233,4862158,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1919,0,81
1762742516810,2146,HTTP Request,201,Created,Ramp 1-10,text,true,,233,4862154,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2146,0,86
