timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762736863176,2412,HTTP Request,201,Created,Ramp 1-1,text,true,,233,4862170,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2396,0,207
1762736865319,2043,HTTP Request,201,Created,Ramp 1-2,text,true,,233,4862162,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2043,0,96
1762736867568,1996,HTTP Request,201,Created,Ramp 1-3,text,true,,233,4862138,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1996,0,92
1762736869817,2012,HTTP Request,201,Created,Ramp 1-4,text,true,,233,4862134,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2012,0,89
1762736872069,2018,HTTP Request,201,Created,Ramp 1-5,text,true,,233,4862142,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2018,0,89
1762736874320,2088,HTTP Request,201,Created,Ramp 1-6,text,true,,233,4862154,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2088,0,109
1762736876567,2367,HTTP Request,201,Created,Ramp 1-7,text,true,,233,4862158,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2367,0,117
1762736878816,2307,HTTP Request,201,Created,Ramp 1-8,text,true,,233,4862142,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2307,0,87
1762736881064,2128,HTTP Request,201,Created,Ramp 1-9,text,true,,233,4862134,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2128,0,93
1762736883313,1957,HTTP Request,201,Created,Ramp 1-10,text,true,,233,4862146,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1957,0,93
1762736885566,2027,HTTP Request,201,Created,Ramp 1-11,text,true,,233,4862138,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2027,0,98
1762736887822,2098,HTTP Request,201,Created,Ramp 1-12,text,true,,233,4862130,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2098,0,111
1762736890064,2288,HTTP Request,201,Created,Ramp 1-13,text,true,,233,4862158,2,2,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2288,0,87
1762736892315,1860,HTTP Request,201,Created,Ramp 1-14,text,true,,233,4862138,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1860,0,81
1762736894564,1946,HTTP Request,201,Created,Ramp 1-15,text,true,,233,4862138,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1946,0,146
1762736896829,1953,HTTP Request,201,Created,Ramp 1-16,text,true,,233,4862162,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,1952,0,90
1762736899063,2055,HTTP Request,201,Created,Ramp 1-17,text,true,,233,4862170,1,1,http://ANB-LB-4791904.us-east-1.elb.amazonaws.com:8000/api/videos/upload,2055,0,105
