timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1760894375657,1003,HTTP Request cargar videos,201,Created,Smoke 1-1,text,true,,258,1748617,1,1,http://127.0.0.1:8000/api/videos/upload,1003,0,2
1760894387656,579,HTTP Request cargar videos,201,Created,Smoke 1-2,text,true,,258,1748609,1,1,http://127.0.0.1:8000/api/videos/upload,579,0,2
1760894399655,644,HTTP Request cargar videos,201,Created,Smoke 1-3,text,true,,258,1748633,1,1,http://127.0.0.1:8000/api/videos/upload,644,0,2
1760894411655,652,HTTP Request cargar videos,201,Created,Smoke 1-4,text,true,,258,1748637,1,1,http://127.0.0.1:8000/api/videos/upload,652,0,2
1760894423656,518,HTTP Request cargar videos,201,Created,Smoke 1-5,text,true,,258,1748621,1,1,http://127.0.0.1:8000/api/videos/upload,518,0,3
